County,Population
Cook,5223719
Dupage,931743
Lake,703619
Will,688697
Kane,530839
Mchenry,307789
Winnebago,286174
Madison,265670
St. Clair,263463
Champaign,209448
Sangamon,197661
Peoria,184463
Mclean,173219
Rock Island,145275
Tazewell,133852
Kendall,124626
Kankakee,111061
La Salle,110401
Macon,106512
Dekalb,104200
Vermilion,78407
Williamson,67299
Adams,66427
Jackson,58551
Whiteside,56396
Boone,53606
Coles,51736
Ogle,51328
Knox,50999
Grundy,50509
Henry,49464
Macoupin,45719
Stephenson,45433
Franklin,39127
Woodford,38817
Jefferson,38169
Marion,38084
Clinton,37628
Livingston,36324
Fulton,35418
Lee,34527
Morgan,34426
Effingham,34174
Monroe,33936
Bureau,33381
Christian,33231
Randolph,32546
McDonough,30875
Logan,29207
Montgomery,29009
Iroquois,28169
Saline,24231
Jersey,22069
Jo Daviess,21834
Shelby,21832
Fayette,21724
Perry,21384
Douglas,19714
Crawford,19088
Hancock,18112
Edgar,17539
Warren,17338
Union,17127
Bond,16712
Wayne,16487
Piatt,16427
Lawrence,16189
De Witt,16042
Richland,15881
Clark,15836
Pike,15754
Mercer,15693
Moultrie,14703
Carroll,14562
Massac,14430
Washington,14155
White,14025
Mason,13778
Ford,13398
Clay,13338
Greene,13218
Cass,12665
Johnson,12602
Menard,12367
Marshall,11794
Wabash,11573
Cumberland,10865
Jasper,9598
Hamilton,8221
Schuyler,7064
Henderson,6884
Brown,6675
Alexander,6532
Edwards,6507
Putnam,5746
Pulaski,5611
Stark,5500
Gallatin,5157
Scott,5047
Calhoun,4858
Pope,4249
Hardin,4009
